10021	WARN	(X-Content-Type-Options Header Missing)
10023	WARN	(Information Disclosure - Debug Error Messages)
10025	WARN	(Information Disclosure - Sensitive Information in URL)
10026	WARN	(HTTP Parameter Override)
10027	WARN	(Information Disclosure - Suspicious Comments)
10028	WARN	(Open Redirect)
10029	WARN	(Cookie Poisoning)
10030	WARN	(User Controllable Charset)
10031	WARN	(User Controllable HTML Element Attribute (Potential XSS))
10032	WARN	(Viewstate Scanner)
10033	WARN	(Directory Browsing)
10034	WARN	(Heartbleed OpenSSL Vulnerability (Indicative))
10035	WARN	(Strict-Transport-Security Header Scanner)
10036	WARN	(HTTP Server Response Header Scanner)
10037	WARN	(Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s))
10038	WARN	(Content Security Policy (CSP) Header Not Set)
10040	WARN	(Secure Pages Include Mixed Content)
10041	WARN	(HTTP to HTTPS Insecure Transition in Form Post)
10042	WARN	(HTTPS to HTTP Insecure Transition in Form Post)
10043	WARN	(User Controllable JavaScript Event (XSS))
10044	WARN	(Big Redirect Detected (Potential Sensitive Information Leak))
10045	WARN	(Source Code Disclosure - /WEB-INF folder)
10047	WARN	(HTTPS Content Available via HTTP)
10048	WARN	(Remote Code Execution - Shell Shock)
10049	WARN	(Content Cacheability)
10050	WARN	(Retrieved from Cache)
10051	WARN	(Relative Path Confusion)
10052	WARN	(X-ChromeLogger-Data (XCOLD) Header Information Leak)
10054	WARN	(Cookie Without SameSite Attribute)
10055	WARN	(CSP Scanner)
10056	WARN	(X-Debug-Token Information Leak)
10057	WARN	(Username Hash Found)
10061	WARN	(X-AspNet-Version Response Header Scanner)
10062	WARN	(PII Disclosure)
10063	WARN	(Feature Policy Header Not Set)
10096	WARN	(Timestamp Disclosure)
10097	WARN	(Hash Disclosure)
10098	WARN	(Cross-Domain Misconfiguration)
10099	WARN	(Source Code Disclosure)
10104	WARN	(User Agent Fuzzer)
10105	WARN	(Weak Authentication Method)
10106	WARN	(HTTP Only Site)
10107	WARN	(Httpoxy - Proxy Header Misuse)
10108	WARN	(Reverse Tabnabbing)
10109	WARN	(Modern Web Application)
10110	WARN	(Dangerous JS Functions)
10202	WARN	(Absence of Anti-CSRF Tokens)
